cv_id,vacancy_id,ideal_score,split_score,mono_score,split_abs_dev,mono_abs_dev,ideal_verdict,split_verdict,mono_verdict,split_miss_jac,mono_miss_jac
4_senior_product_manager,9e813597-60d6-4aa0-aba1-ed85d9a0f957,0.695,0.6162,0.495,0.0787,0.2,Partial,Partial,Weak,0.1053,0.0
4_senior_product_manager,00d0ccdb-07a0-49a3-a691-efa93961fa2c,0.3025,0.605,0.63,0.3025,0.3275,Weak,Partial,Partial,0.25,0.0
4_senior_product_manager,646f93ed-8a4a-4498-9e5e-100b979a2153,0.65,0.6481,0.7,0.0019,0.05,Partial,Partial,Partial,0.0,0.0
4_senior_product_manager,109db1b9-8020-4ac5-9bab-2255b3eb371c,0.655,0.655,0.5075,0.0,0.1475,Partial,Partial,Partial,0.1176,0.0
4_senior_product_manager,a80fa449-881d-418a-9fbf-647eb9458e41,0.6625,0.6823,0.74,0.0198,0.0775,Partial,Partial,Partial,0.3043,0.0
4_senior_product_manager,9a897ce1-5611-457b-8528-44b176fd3cab,0.7,0.6807,0.75,0.0193,0.05,Partial,Partial,Strong,0.1282,0.0
4_senior_product_manager,a7d2295c-6344-421c-a07b-0e2d8ffb3877,0.65,0.605,0.49,0.045,0.16,Partial,Partial,Weak,0.0455,0.0
4_senior_product_manager,99e2c825-164a-4a60-9100-b16472b835e5,0.655,0.655,0.54,0.0,0.115,Partial,Partial,Partial,0.5385,0.0
4_senior_product_manager,e2f70a9d-aa26-4c66-a12f-53f0960d17f9,0.655,0.655,0.66,0.0,0.005,Partial,Partial,Partial,0.2083,0.0
4_senior_product_manager,2306e535-ce66-4b70-90e5-4d9f053723e1,0.325,0.134,0.66,0.191,0.335,Weak,Mismatch,Partial,0.0556,0.0
4_senior_product_manager,c3b4a29b-0ab4-4d8c-b117-6294d2dc7241,0.605,0.605,0.63,0.0,0.025,Partial,Partial,Partial,0.0667,0.0
4_senior_product_manager,34dbdcad-a90b-4d99-b483-20700560429c,0.655,0.636,0.7025,0.019,0.0475,Partial,Partial,Partial,0.2,0.0769
4_senior_product_manager,b1732718-a3c0-4fe2-9bb6-23fd1e667bfa,0.65,0.13,0.495,0.52,0.155,Partial,Mismatch,Weak,0.3,0.1111
4_senior_product_manager,9e33aa4f-afc6-4c49-89e8-e4baeab80332,0.545,0.545,0.3075,0.0,0.2375,Partial,Partial,Weak,0.3333,0.3333
4_senior_product_manager,4d925c65-1549-445e-887c-cfb20ea016c0,0.655,0.605,0.705,0.05,0.05,Partial,Partial,Partial,0.1818,0.0
4_senior_product_manager,562f9b0d-e33b-49dd-8ce3-3c818efd8fee,0.6075,0.6178,0.705,0.0103,0.0975,Partial,Partial,Partial,0.2381,0.0
4_senior_product_manager,e1e366c2-9d8e-446e-8d41-d8f8414f4d3f,0.545,0.2725,0.405,0.2725,0.14,Partial,Weak,Weak,0.1481,0.0
4_senior_product_manager,f974f87e-cafa-47f7-9678-0ea58afb6b0c,0.6158,0.63,0.405,0.0142,0.2108,Partial,Partial,Weak,0.2667,0.0
4_senior_product_manager,a16032ca-09f1-46c3-9343-980ff9f76911,0.545,0.545,0.495,0.0,0.05,Partial,Partial,Weak,0.0526,0.0
4_senior_product_manager,8177a254-3728-4f81-b23d-59881458e60b,0.605,0.605,0.6075,0.0,0.0025,Partial,Partial,Partial,0.0,0.0
4_senior_product_manager,c89b5447-b5eb-49e6-bff0-147f13b336de,0.595,0.595,0.22,0.0,0.375,Partial,Partial,Mismatch,0.0,0.0
4_senior_product_manager,f0585b3f-ae3d-4b31-8bb8-1bb517c4c6ef,0.2825,0.2853,0.225,0.0028,0.0575,Weak,Weak,Mismatch,0.0526,0.1111
4_senior_product_manager,1349357c-7645-4062-a983-ce07ba203d09,0.535,0.535,0.22,0.0,0.315,Partial,Partial,Mismatch,0.0,0.0
1_senior_backend_engineer,92f8bd8e-b51f-40ac-a0eb-adc24ee757e9,0.8348,0.7818,0.74,0.053,0.0948,Strong,Strong,Partial,0.25,0.0
1_senior_backend_engineer,05b9129a-81f1-4143-bdc0-683523e7ec4e,0.9073,0.8621,0.8,0.0452,0.1073,Strong,Strong,Strong,0.4286,0.0
1_senior_backend_engineer,f8003c2e-49ed-4f88-8f44-0adf5d74127d,0.6875,0.7464,0.74,0.0589,0.0525,Partial,Partial,Partial,0.4667,0.0
1_senior_backend_engineer,210a253b-0be0-4901-a1ce-f5c89ef6f5d4,0.7873,0.7146,0.7,0.0727,0.0873,Strong,Partial,Partial,0.2174,0.1667
1_senior_backend_engineer,8c03a6e9-b372-4802-84be-7d939d6ccb5a,0.645,0.695,0.7,0.05,0.055,Partial,Partial,Partial,0.25,0.1176
1_senior_backend_engineer,1384e97c-56ba-491d-a1e6-5a2f350c0d9d,0.5751,0.2846,0.66,0.2905,0.0849,Partial,Weak,Partial,0.6667,0.04
1_senior_backend_engineer,f12c7a06-9702-45ca-b20c-504afa184bc4,0.725,0.7015,0.74,0.0235,0.015,Partial,Partial,Partial,0.3571,0.3636
1_senior_backend_engineer,c1d841b8-8552-4d42-a314-6b281eea45d6,0.7775,0.7366,0.75,0.0409,0.0275,Strong,Partial,Strong,0.625,0.1667
1_senior_backend_engineer,e092834f-91a9-4d83-b334-fa02167ba004,0.6275,0.6853,0.74,0.0578,0.1125,Partial,Partial,Partial,0.4333,0.1905
1_senior_backend_engineer,f27ad885-ca1a-412c-a18b-89b41a30e34c,0.5825,0.6025,0.105,0.02,0.4775,Partial,Partial,Mismatch,0.3182,0.2857
1_senior_backend_engineer,69a20796-a021-4479-8914-266f86212e21,0.6418,0.6779,0.82,0.036,0.1782,Partial,Partial,Strong,0.5,0.0
1_senior_backend_engineer,e840f997-37f1-42cc-9c3a-190803906352,0.6307,0.73,0.74,0.0993,0.1093,Partial,Partial,Partial,0.4667,0.1667
1_senior_backend_engineer,d5b7073e-bbdb-46b1-a7aa-e012076f6355,0.7732,0.7591,0.63,0.0141,0.1432,Strong,Strong,Partial,0.6154,0.2222
1_senior_backend_engineer,689a5e83-2274-4179-aa69-84a139adab0f,0.8313,0.6564,0.74,0.1749,0.0913,Strong,Partial,Partial,0.125,0.0
1_senior_backend_engineer,fd125a93-ce97-4995-abce-547c10bbdead,0.9309,0.739,0.74,0.1919,0.1909,Strong,Partial,Partial,0.129,0.1667
1_senior_backend_engineer,7f9ceb65-f457-4999-a112-365a1005f191,0.8396,0.8825,0.75,0.0429,0.0896,Strong,Strong,Strong,0.0,0.0
1_senior_backend_engineer,1b8493be-545e-4090-9775-303b0e5d7b55,0.6755,0.685,0.74,0.0095,0.0645,Partial,Partial,Partial,0.35,0.0
1_senior_backend_engineer,514b325d-ce89-4e78-babd-1cf9268b8714,0.9259,0.9275,0.82,0.0016,0.1059,Strong,Strong,Strong,0.0,0.0
1_senior_backend_engineer,ea9cef37-2c7c-4957-a156-2ce0027c569d,0.611,0.698,0.63,0.087,0.019,Partial,Partial,Partial,0.2,0.0
1_senior_backend_engineer,c1fae7c2-ca09-4a3e-92d0-60636378bf39,0.5923,0.64,0.58,0.0477,0.0123,Partial,Partial,Partial,0.6667,0.3333
1_senior_backend_engineer,738bbdbd-27ea-44bf-a5a8-994cf5e24e23,0.625,0.6,0.405,0.025,0.22,Partial,Partial,Weak,0.5,0.0
1_senior_backend_engineer,77ff054b-1d8f-4231-b08d-baed588bd4e0,0.34,0.3166,0.66,0.0234,0.32,Weak,Weak,Partial,0.4545,0.0
1_senior_backend_engineer,da16012a-9276-4ecb-8d71-8d1945d94b6a,0.6075,0.5669,0.495,0.0406,0.1125,Partial,Partial,Weak,0.5833,0.0
1_senior_backend_engineer,ab6d57dc-8a52-45ec-b456-973509d549bc,0.5706,0.56,0.495,0.0106,0.0756,Partial,Partial,Weak,0.7857,0.375
1_senior_backend_engineer,e07fb525-2281-4dca-b4b4-52f34b2f127d,0.6936,0.65,0.66,0.0436,0.0336,Partial,Partial,Partial,0.0,0.0
1_senior_backend_engineer,66a1e453-d23c-4da9-b4db-a6664d90c2b7,0.745,0.745,0.74,0.0,0.005,Partial,Partial,Partial,0.6667,0.0
1_senior_backend_engineer,db1c9d2a-b3d2-40a3-9f0c-965e0e041d7d,0.6892,0.6814,0.63,0.0078,0.0592,Partial,Partial,Partial,0.6667,0.0
1_senior_backend_engineer,5a4127a7-dc4c-43b5-a98b-a5f32212a60b,0.56,0.5533,0.495,0.0067,0.065,Partial,Partial,Weak,0.4545,0.0
1_senior_backend_engineer,ed7d41d9-7339-470b-8a23-ede9ab8a6da9,0.5,0.5,0.22,0.0,0.28,Weak,Weak,Mismatch,0.0303,0.0833
5_junior_backend_engineer,f12c7a06-9702-45ca-b20c-504afa184bc4,0.535,0.5513,0.24,0.0163,0.295,Partial,Partial,Mismatch,0.5263,0.5294
5_junior_backend_engineer,102d5d77-0ccb-4640-be6e-8e2595afe705,0.7386,0.7414,0.63,0.0027,0.1086,Partial,Partial,Partial,0.375,0.0
5_junior_backend_engineer,1d2ebdbd-b61e-4436-b8d3-78affd09c2ca,0.6619,0.6487,0.33,0.0132,0.3319,Partial,Partial,Weak,0.6,0.25
5_junior_backend_engineer,66a1e453-d23c-4da9-b4db-a6664d90c2b7,0.7033,0.7033,0.306,0.0,0.3973,Partial,Partial,Weak,0.6667,0.0
5_junior_backend_engineer,1b8493be-545e-4090-9775-303b0e5d7b55,0.5921,0.624,0.63,0.0319,0.0379,Partial,Partial,Partial,0.2778,0.0
5_junior_backend_engineer,05e537ca-170b-478f-a33d-b477f5f08223,0.585,0.5844,0.22,0.0006,0.365,Partial,Partial,Mismatch,0.5,0.0
5_junior_backend_engineer,689a5e83-2274-4179-aa69-84a139adab0f,0.5886,0.5483,0.495,0.0402,0.0936,Partial,Partial,Weak,0.1667,0.2
5_junior_backend_engineer,59cb605a-3205-4ea6-8730-145723cbf85c,0.7815,0.7481,0.405,0.0334,0.3765,Strong,Partial,Weak,0.4167,0.0
5_junior_backend_engineer,e3d3fe82-0456-44e1-a653-2ade994df53d,0.283,0.2534,0.22,0.0296,0.063,Weak,Weak,Mismatch,0.1562,0.2
5_junior_backend_engineer,27502427-31c4-42e7-95fb-f021aa147ed7,0.65,0.7417,0.495,0.0917,0.155,Partial,Partial,Weak,0.6667,0.3333
5_junior_backend_engineer,c1d841b8-8552-4d42-a314-6b281eea45d6,0.5575,0.5166,0.22,0.0409,0.3375,Partial,Partial,Mismatch,0.625,0.2222
5_junior_backend_engineer,393310d2-1fa3-4cff-95a5-1a4158a8bc68,0.5138,0.5204,0.306,0.0067,0.2078,Partial,Partial,Weak,0.4,0.375
5_junior_backend_engineer,ab6d57dc-8a52-45ec-b456-973509d549bc,0.5342,0.6333,0.405,0.0991,0.1292,Partial,Partial,Weak,0.75,0.2727
5_junior_backend_engineer,210a253b-0be0-4901-a1ce-f5c89ef6f5d4,0.6373,0.6164,0.22,0.0209,0.4173,Partial,Partial,Mismatch,0.2381,0.0667
5_junior_backend_engineer,738bbdbd-27ea-44bf-a5a8-994cf5e24e23,0.7658,0.7825,0.44,0.0167,0.3258,Strong,Strong,Weak,0.1667,0.0
5_junior_backend_engineer,727b163f-8aaf-4926-9ae0-d554f00661ad,0.6608,0.6772,0.405,0.0163,0.2558,Partial,Partial,Weak,0.4444,0.125
5_junior_backend_engineer,05b9129a-81f1-4143-bdc0-683523e7ec4e,0.7395,0.6144,0.336,0.1251,0.4035,Partial,Partial,Weak,0.3333,0.0
5_junior_backend_engineer,ec9c676d-8504-4123-aac0-038fc306fcf7,0.4583,0.58,0.305,0.1217,0.1533,Weak,Partial,Weak,0.5714,0.2857
5_junior_backend_engineer,b06bd250-91c9-48dd-acad-9ef77e4e669e,0.7016,0.6389,0.36,0.0626,0.3416,Partial,Partial,Weak,0.5556,0.3125
5_junior_backend_engineer,b81c5a4d-bc82-440a-a8ba-84129682ca16,0.5033,0.5428,0.2025,0.0395,0.3008,Partial,Partial,Mismatch,0.7,0.5882
5_junior_backend_engineer,87451c8f-0db8-43c8-bac2-52381453653b,0.6425,0.5813,0.306,0.0613,0.3365,Partial,Partial,Weak,0.3,0.0
5_junior_backend_engineer,cdc7757a-a09b-42b9-b1d2-12a69069931f,0.4675,0.2814,0.22,0.1861,0.2475,Weak,Weak,Mismatch,0.7143,0.3333
5_junior_backend_engineer,5a4127a7-dc4c-43b5-a98b-a5f32212a60b,0.65,0.6533,0.49,0.0033,0.16,Partial,Partial,Weak,0.25,0.0
5_junior_backend_engineer,38df2a39-e173-4108-8c5b-52afb1c526b3,0.65,0.604,0.465,0.046,0.185,Partial,Partial,Weak,0.8333,0.0
5_junior_backend_engineer,0c7b3e11-9612-41e1-a47b-91c5c7282d57,0.42,0.3435,0.105,0.0764,0.315,Weak,Weak,Mismatch,0.1071,0.0667
5_junior_backend_engineer,514b325d-ce89-4e78-babd-1cf9268b8714,0.6514,0.6375,0.24,0.0139,0.4114,Partial,Partial,Mismatch,0.6667,0.2857
5_junior_backend_engineer,ea9cef37-2c7c-4957-a156-2ce0027c569d,0.37,0.37,0.22,0.0,0.15,Weak,Weak,Mismatch,0.2,0.3333
5_junior_backend_engineer,e07fb525-2281-4dca-b4b4-52f34b2f127d,0.4789,0.5692,0.225,0.0902,0.2539,Weak,Partial,Mismatch,0.0,0.0
5_junior_backend_engineer,314b593b-f49d-4d84-8c9c-232192f82f03,0.4583,0.4583,0.09,0.0,0.3683,Weak,Weak,Mismatch,0.1111,0.0
5_junior_backend_engineer,ed7d41d9-7339-470b-8a23-ede9ab8a6da9,0.56,0.5103,0,0.0497,0.56,Partial,Partial,Mismatch,0.0,0.0
14_frontend_mid_react,55ebf38b-7158-4f14-8f14-ecd4ebb1d94c,0.905,0.905,0.69,0.0,0.215,Strong,Strong,Partial,1.0,1.0
14_frontend_mid_react,e707382d-90b1-48fe-a362-eb9a9bf25f7d,0.7959,0.4342,0.63,0.3617,0.1659,Strong,Weak,Partial,0.2,0.0
14_frontend_mid_react,93795dd4-bc8b-4f7d-9191-5544c026114f,0.755,0.745,0.75,0.01,0.005,Strong,Partial,Strong,0.1111,0.0
14_frontend_mid_react,bf3c13b6-3f30-416b-997a-2e3eced40e98,0.6875,0.6907,0.74,0.0032,0.0525,Partial,Partial,Partial,0.7143,0.0
14_frontend_mid_react,865772ea-3eee-494e-b36a-3ebc5558f2a3,0.3725,0.3552,0.36,0.0173,0.0125,Weak,Weak,Weak,0.25,0.125
14_frontend_mid_react,88f1b524-c41f-402c-a366-7067dc043159,0.7175,0.6774,0.3,0.0401,0.4175,Partial,Partial,Weak,0.4667,0.3571
14_frontend_mid_react,eb06260a-ef10-40dd-8b76-bb70a1760c2a,0.412,0.8125,0.74,0.4005,0.328,Weak,Strong,Partial,0.2,0.0
14_frontend_mid_react,aa0d4c30-553c-49fd-b07d-785af2e5ac30,0.7382,0.7045,0.74,0.0337,0.0018,Partial,Partial,Partial,0.3636,0.1667
14_frontend_mid_react,44aae2a7-4fda-4323-948f-e51fa99d933b,0.7989,0.7735,0.69,0.0254,0.1089,Strong,Strong,Partial,0.0667,0.0
14_frontend_mid_react,27ade056-b7b9-489b-af77-53fc12dcd5b0,0.7593,0.7181,0.495,0.0412,0.2643,Strong,Partial,Weak,0.9286,0.9231
14_frontend_mid_react,c72d109a-fea5-407a-a9cd-04c0853b7f55,0.3783,0.682,0.705,0.3036,0.3267,Weak,Partial,Partial,0.2083,0.0
14_frontend_mid_react,07f6fc79-c3b3-42cd-813e-45d77480ac8e,0.3358,0.3312,0.24,0.0046,0.0958,Weak,Weak,Mismatch,0.4545,0.3333
14_frontend_mid_react,ad1c1f88-2d3e-4976-856d-5111b7acb3a5,0.3564,0.6742,0.49,0.3178,0.1336,Weak,Partial,Weak,0.375,0.2308
14_frontend_mid_react,4a57e1ab-c2d6-46d5-8c16-94a5936b0dd4,0.9314,0.8875,0.905,0.0439,0.0264,Strong,Strong,Strong,1.0,0.0
14_frontend_mid_react,cbfa3e57-a78e-47c2-90cd-96b783d6d761,0.85,0.8486,0.74,0.0014,0.11,Strong,Strong,Partial,0.2857,0.0
14_frontend_mid_react,4fe970a4-27fe-4bdc-a8c8-2b16a0d95eb1,0.6642,0.6717,0.495,0.0075,0.1692,Partial,Partial,Weak,0.4545,0.3333
14_frontend_mid_react,831d1409-2a93-442e-ac85-e501d73afa61,0.705,0.6786,0.22,0.0264,0.485,Partial,Partial,Mismatch,0.7,0.7778
14_frontend_mid_react,6fc6a633-0a4e-4a1d-966c-9c72fda0de23,0.7633,0.6813,0.5075,0.082,0.2558,Strong,Partial,Partial,0.3333,0.1667
14_frontend_mid_react,8aaa4ecc-d27b-45b0-9b13-50157aa87252,0.6595,0.6479,0.22,0.0117,0.4395,Partial,Partial,Mismatch,0.1739,0.0625
14_frontend_mid_react,ff8aad4f-4fde-42bd-b481-5c835e59c02e,0.725,0.7383,0.58,0.0133,0.145,Partial,Partial,Partial,0.2222,0.0
14_frontend_mid_react,866eacff-bc34-4da4-bc0d-f96e5ab2df68,0.7086,0.6925,0.63,0.0161,0.0786,Partial,Partial,Partial,0.5,0.0
14_frontend_mid_react,f95c3798-6c5c-4d18-a746-af67b51242e4,0.56,0.6307,0.39,0.0707,0.17,Partial,Partial,Weak,0.6667,0.5556
14_frontend_mid_react,bc85925f-e306-40dd-b476-0ad83a210bfb,0.5917,0.5868,0.3375,0.0049,0.2542,Partial,Partial,Weak,0.3529,0.1333
14_frontend_mid_react,22b9feab-e367-4d3d-8765-da2c484052aa,0.6385,0.5857,0.63,0.0527,0.0085,Partial,Partial,Partial,0.5455,0.0
14_frontend_mid_react,fcb6785a-31ea-49b5-b736-dffbeb0040c8,0.6325,0.3225,0.24,0.31,0.3925,Partial,Weak,Mismatch,0.6667,0.4
14_frontend_mid_react,3dc10175-c589-40ac-a2cc-e6b7351b94be,0.595,0.57,0.32,0.025,0.275,Partial,Partial,Weak,0.6154,0.2308
14_frontend_mid_react,a24e9b83-2cbb-4b81-bfb1-5cf1fb104467,0.5231,0.5681,0.22,0.045,0.3031,Partial,Partial,Mismatch,0.8462,0.7857
14_frontend_mid_react,7d309556-2e31-465a-a802-6a405051875d,0.6131,0.5337,0.2,0.0793,0.4131,Partial,Partial,Mismatch,0.35,0.2941
14_frontend_mid_react,f9174250-646e-4845-9610-d8dc4efb954c,0.55,0.5429,0.495,0.0071,0.055,Partial,Partial,Weak,0.0,0.0
14_frontend_mid_react,459739e5-a61c-46ab-b761-282c7ede3e80,0.56,0.56,0.36,0.0,0.2,Partial,Partial,Weak,0.4286,0.3333
17_realformat_swe_fullstack,dd8bd6cd-b830-449f-b69c-41e777551d18,0.645,0.7557,0.705,0.1107,0.06,Partial,Strong,Partial,0.5714,0.0
17_realformat_swe_fullstack,9f3afa0b-f1de-4f3c-bb42-302ad3d54ce2,0.5188,0.605,0.225,0.0862,0.2938,Partial,Partial,Mismatch,0.4,0.125
17_realformat_swe_fullstack,5790bd48-b784-452f-8cf6-fc910af837a4,0.5577,0.6702,0.63,0.1125,0.0723,Partial,Partial,Partial,0.7727,0.2381
17_realformat_swe_fullstack,0f28ff56-d10e-4946-9a98-c269be0e145e,0.5939,0.6102,0.63,0.0163,0.0361,Partial,Partial,Partial,0.5455,0.125
17_realformat_swe_fullstack,b8505fa5-13f0-40b4-8961-b5cd084477dc,0.6029,0.76,0.705,0.1571,0.1021,Partial,Strong,Partial,0.7778,0.1111
17_realformat_swe_fullstack,d8b58559-406c-4c06-8cd6-f7c35a172adc,0.695,0.8133,0.605,0.1183,0.09,Partial,Strong,Partial,0.4444,0.125
17_realformat_swe_fullstack,627e7223-26d4-4daf-ada9-13bd47943ccf,0.5832,0.675,0.63,0.0918,0.0468,Partial,Partial,Partial,0.5909,0.2
17_realformat_swe_fullstack,8069bfd7-f6e8-4c30-aaa0-e7582603ec09,0.2773,0.3325,0.54,0.0552,0.2627,Weak,Weak,Partial,0.6667,0.0909
17_realformat_swe_fullstack,884a9333-9a1d-4537-ba9b-658d99373980,0.6575,0.7192,0.63,0.0617,0.0275,Partial,Partial,Partial,0.3636,0.3
17_realformat_swe_fullstack,fe1da4db-20e6-4c94-8577-067a243a7568,0.56,0.6909,0.63,0.1309,0.07,Partial,Partial,Partial,0.35,0.0667
17_realformat_swe_fullstack,b66e9aad-8110-4d6e-87c9-e05f626b5ee4,0.6736,0.67,0.6075,0.0036,0.0661,Partial,Partial,Partial,0.8889,0.1
17_realformat_swe_fullstack,9f88dd86-c147-4681-9567-4b87fe913b97,0.5525,0.725,0.605,0.1725,0.0525,Partial,Partial,Partial,0.6,0.2
17_realformat_swe_fullstack,9c76720b-6f90-46ce-8a57-001fcca261ba,0.5462,0.69,0.605,0.1438,0.0588,Partial,Partial,Partial,0.5,0.5
17_realformat_swe_fullstack,912d23f3-8459-4b3d-8d46-d7d6e62b322c,0.5923,0.68,0.75,0.0877,0.1577,Partial,Partial,Strong,0.6364,0.0
17_realformat_swe_fullstack,e3d3fe82-0456-44e1-a653-2ade994df53d,0.2831,0.3166,0.32,0.0335,0.0369,Weak,Weak,Weak,0.2821,0.3478
17_realformat_swe_fullstack,6d908d9f-c748-4be8-8c15-50fed8a03135,0.568,0.6341,0.5025,0.0661,0.0655,Partial,Partial,Partial,0.4,0.4545
17_realformat_swe_fullstack,aa515efb-39a4-4fe7-b3a7-b496339c0447,0.645,0.645,0.405,0.0,0.24,Partial,Partial,Weak,0.5833,0.5
17_realformat_swe_fullstack,923463ed-0b3e-4018-9d75-5f7eaec451c5,0.6918,0.7968,0.495,0.105,0.1968,Partial,Strong,Weak,0.6,0.375
17_realformat_swe_fullstack,178cbb0b-0920-4531-987e-bf4d7245e372,0.5629,0.675,0.63,0.1121,0.0671,Partial,Partial,Partial,0.5,0.0
17_realformat_swe_fullstack,2c20d3af-c032-4a9f-ae27-5f6c681381b3,0.5692,0.6336,0.495,0.0643,0.0742,Partial,Partial,Weak,0.381,0.2353
